Session, Time, Freq (MHz), KrakenSDR ID, Latitude, Longitude, Bearing, Direction
(1, '2024-10-13T20:51:57.745764', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:57.749468', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:58.179507', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:58.185475', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:58.627112', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:58.630825', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:59.055284', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:59.064554', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:59.491742', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:59.513631', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:59.926241', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:59.928300', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:00.386030', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:00.390054', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:00.804484', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:00.807349', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:01.231822', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:01.235805', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:01.676400', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 152.0)
(1, '2024-10-13T20:52:01.679323', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 152.0)
(1, '2024-10-13T20:52:02.118277', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:02.126525', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:02.544297', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:02.548662', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:02.987059', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:02.989308', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:03.429216', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:03.432982', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:03.857141', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:03.859577', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:04.293642', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:04.295476', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:04.728564', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:04.730889', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:05.169624', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:05.172131', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:05.605216', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:05.607343', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:06.042070', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:06.043988', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:06.482251', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:06.484075', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:06.916786', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:06.924034', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:07.350555', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:07.352294', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:07.790986', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:07.792835', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:08.219139', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:08.220881', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:52:08.667548', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:08.669170', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
